team,teamid,position,rec,rec.yd,td,fpts,fpts.gm,year,finish
Green Bay Packers,GB,WR,259,3191,34,782.10,48.88,2016,1
New Orleans Saints,NO,WR,275,3561,24,775.10,48.44,2016,2
Atlanta Falcons,ATL,WR,223,3226,22,677.60,42.35,2016,3
Pittsburgh Steelers,PIT,WR,208,2765,23,622.50,38.91,2016,6
Arizona Cardinals,ARI,WR,237,2865,21,649.50,40.59,2016,4
New York Giants,NYG,WR,215,2796,22,626.60,39.16,2016,5
Oakland Raiders,OAK,WR,225,2709,21,621.90,38.87,2016,7
Washington Redskins,WAS,WR,219,3081,14,611.10,38.19,2016,9
Detroit Lions,DET,WR,232,2872,17,621.20,38.83,2016,8
Tampa Bay Buccaneers,TB,WR,211,2792,17,592.20,37.01,2016,11
Dallas Cowboys,DAL,WR,188,2490,20,557.00,34.81,2016,19
Chicago Bears,CHI,WR,222,2970,12,591.00,36.94,2016,12
Miami Dolphins,MIA,WR,195,2637,18,566.70,35.42,2016,13
Denver Broncos,DEN,WR,225,2777,15,592.70,37.04,2016,10
New York Jets,NYJ,WR,203,2793,13,560.30,35.02,2016,16
Baltimore Ravens,BAL,WR,211,2689,13,557.90,34.87,2016,18
Seattle Seahawks,SEA,WR,206,2664,12,544.40,34.03,2016,20
Jacksonville Jaguars,JAC,WR,207,2618,15,558.80,34.93,2016,17
San Diego Chargers,SD,WR,184,2642,15,538.20,33.64,2016,22
Indianapolis Colts,IND,WR,177,2612,15,528.20,33.01,2016,23
Cincinnati Bengals,CIN,WR,220,2806,11,566.60,35.41,2016,15
New England Patriots,NE,WR,195,2474,16,538.40,33.65,2016,21
Carolina Panthers,CAR,WR,171,2376,16,504.60,31.54,2016,24
Minnesota Vikings,MIN,WR,237,2637,11,566.70,35.42,2016,13
Tennessee Titans,TEN,WR,159,2178,16,472.80,29.55,2016,26
Los Angeles Rams,LAR,WR,188,2261,11,480.10,30.01,2016,25
Kansas City Chiefs,KC,WR,180,1938,10,433.80,27.11,2016,27
Buffalo Bills,BUF,WR,146,2017,11,413.70,25.86,2016,29
Cleveland Browns,CLE,WR,168,2029,10,430.90,26.93,2016,28
Houston Texans,HOU,WR,168,1963,7,406.30,25.39,2016,30
Philadelphia Eagles,PHI,WR,164,1766,8,388.60,24.29,2016,31
San Francisco 49ers,SF,WR,160,1777,8,385.70,24.11,2016,32
Pittsburgh Steelers,PIT,WR,253,3689,23,759.90,47.49,2015,2
New York Jets,NYJ,WR,259,3356,29,768.60,48.04,2015,1
Arizona Cardinals,ARI,WR,249,3515,25,750.50,46.91,2015,3
Jacksonville Jaguars,JAC,WR,210,3082,28,686.20,42.89,2015,4
New York Giants,NYG,WR,211,2858,26,652.80,40.80,2015,6
New Orleans Saints,NO,WR,233,3128,18,653.80,40.86,2015,5
Seattle Seahawks,SEA,WR,191,2630,26,610.00,38.13,2015,12
Houston Texans,HOU,WR,231,2967,20,647.70,40.48,2015,7
Oakland Raiders,OAK,WR,204,2681,24,616.10,38.51,2015,10
Miami Dolphins,MIA,WR,226,2963,15,612.30,38.27,2015,11
Denver Broncos,DEN,WR,235,2980,15,623.00,38.94,2015,9
Atlanta Falcons,ATL,WR,244,3068,14,634.80,39.68,2015,8
Indianapolis Colts,IND,WR,211,2790,17,592.00,37.00,2015,14
Detroit Lions,DET,WR,221,2572,20,598.20,37.39,2015,13
Cincinnati Bengals,CIN,WR,187,2581,15,535.10,33.44,2015,17
Carolina Panthers,CAR,WR,154,2263,22,512.30,32.02,2015,20
San Diego Chargers,SD,WR,204,2576,14,545.60,34.10,2015,15
Washington Redskins,WAS,WR,203,2496,15,542.60,33.91,2015,16
Buffalo Bills,BUF,WR,168,2390,16,503.00,31.44,2015,21
Green Bay Packers,GB,WR,190,2392,15,519.20,32.45,2015,19
Baltimore Ravens,BAL,WR,208,2655,10,533.50,33.34,2015,18
Philadelphia Eagles,PHI,WR,172,2158,15,477.80,29.86,2015,23
New England Patriots,NE,WR,201,2271,12,500.10,31.26,2015,22
Dallas Cowboys,DAL,WR,160,2165,12,448.50,28.03,2015,26
Tampa Bay Buccaneers,TB,WR,158,2369,9,448.90,28.06,2015,25
Los Angeles Rams,LAR,WR,137,1635,9,354.50,22.16,2015,32
Cleveland Browns,CLE,WR,196,2299,8,473.90,29.62,2015,24
Chicago Bears,CHI,WR,173,2234,8,444.40,27.78,2015,27
San Francisco 49ers,SF,WR,152,2071,10,419.10,26.19,2015,28
Kansas City Chiefs,KC,WR,154,1857,11,405.70,25.36,2015,29
Minnesota Vikings,MIN,WR,148,1916,6,375.60,23.48,2015,30
Tennessee Titans,TEN,WR,130,1665,11,362.50,22.66,2015,31
Green Bay Packers,GB,WR,233,3295,28,730.50,45.66,2014,3
Atlanta Falcons,ATL,WR,284,3687,19,766.70,47.92,2014,1
Denver Broncos,DEN,WR,268,3557,22,755.70,47.23,2014,2
Pittsburgh Steelers,PIT,WR,237,3216,25,708.60,44.29,2014,4
New York Giants,NYG,WR,237,3140,19,665.00,41.56,2014,5
Philadelphia Eagles,PHI,WR,221,2922,21,639.20,39.95,2014,6
Dallas Cowboys,DAL,WR,171,2495,28,588.50,36.78,2014,10
Indianapolis Colts,IND,WR,219,3004,16,615.40,38.46,2014,7
Baltimore Ravens,BAL,WR,192,2587,21,576.70,36.04,2014,11
Detroit Lions,DET,WR,210,2949,14,588.90,36.81,2014,9
Miami Dolphins,MIA,WR,232,2538,20,605.80,37.86,2014,8
New Orleans Saints,NO,WR,204,2811,12,557.10,34.82,2014,15
Tampa Bay Buccaneers,TB,WR,183,2587,18,549.70,34.36,2014,16
San Diego Chargers,SD,WR,207,2620,17,571.00,35.69,2014,12
Arizona Cardinals,ARI,WR,194,2740,15,558.00,34.88,2014,14
San Francisco 49ers,SF,WR,209,2595,15,558.50,34.91,2014,13
Chicago Bears,CHI,WR,182,2139,20,515.90,32.24,2014,18
Minnesota Vikings,MIN,WR,173,2326,12,477.60,29.85,2014,26
Buffalo Bills,BUF,WR,180,2291,16,505.10,31.57,2014,20
Washington Redskins,WAS,WR,178,2564,11,500.40,31.28,2014,22
Houston Texans,HOU,WR,199,2585,10,517.50,32.34,2014,17
Carolina Panthers,CAR,WR,177,2252,14,486.20,30.39,2014,24
New England Patriots,NE,WR,207,2298,13,514.80,32.18,2014,19
Cleveland Browns,CLE,WR,190,2643,8,502.30,31.39,2014,21
Cincinnati Bengals,CIN,WR,163,2289,12,463.90,28.99,2014,27
Los Angeles Rams,LAR,WR,161,2092,9,424.20,26.51,2014,30
Jacksonville Jaguars,JAC,WR,202,2347,10,496.70,31.04,2014,23
Oakland Raiders,OAK,WR,189,2165,13,483.50,30.22,2014,25
Tennessee Titans,TEN,WR,150,2168,12,438.80,27.43,2014,28
New York Jets,NYJ,WR,164,2098,8,421.80,26.36,2014,31
Seattle Seahawks,SEA,WR,181,2120,7,435.00,27.19,2014,29
Kansas City Chiefs,KC,WR,129,1588,0,287.80,17.99,2014,32
Denver Broncos,DEN,WR,268,3696,38,867.00,54.20,2013,1
Green Bay Packers,GB,WR,232,3302,18,678.00,42.40,2013,2
Chicago Bears,CHI,WR,224,2980,23,670.50,41.90,2013,3
Pittsburgh Steelers,PIT,WR,229,2901,24,665.50,41.60,2013,4
Cincinnati Bengals,CIN,WR,215,2859,23,647.30,40.50,2013,5
New England Patriots,NE,WR,243,2858,16,626.00,39.10,2013,6
Dallas Cowboys,DAL,WR,209,2677,22,609.80,38.10,2013,7
New York Giants,NYG,WR,205,2871,13,581.80,36.40,2013,8
Miami Dolphins,MIA,WR,220,2720,14,579.30,36.20,2013,9
Washington Redskins,WAS,WR,224,2761,12,576.50,36.00,2013,10
Atlanta Falcons,ATL,WR,224,2796,10,564.30,35.30,2013,11
Philadelphia Eagles,PHI,WR,173,2693,20,564.30,35.30,2013,12
Detroit Lions,DET,WR,182,2695,16,546.70,34.20,2013,13
Minnesota Vikings,MIN,WR,192,2466,12,544.40,34.00,2013,14
Arizona Cardinals,ARI,WR,191,2479,17,541.70,33.90,2013,15
Cleveland Browns,CLE,WR,185,2648,13,541.10,33.80,2013,16
Indianapolis Colts,IND,WR,200,2489,14,535.80,33.50,2013,17
Baltimore Ravens,BAL,WR,193,2623,13,533.10,33.30,2013,18
Houston Texans,HOU,WR,202,2652,9,521.20,32.60,2013,19
San Diego Chargers,SD,WR,169,2362,18,515.30,32.20,2013,20
Oakland Raiders,OAK,WR,156,2248,10,514.00,32.10,2013,21
Tennessee Titans,TEN,WR,196,2626,9,512.60,32.00,2013,22
Seattle Seahawks,SEA,WR,157,2352,17,497.70,31.10,2013,23
New Orleans Saints,NO,WR,164,2433,14,492.20,30.80,2013,24
Jacksonville Jaguars,JAC,WR,188,2202,7,449.60,28.10,2013,25
Carolina Panthers,CAR,WR,156,1983,15,448.70,28.00,2013,26
Los Angeles Rams,LAR,WR,147,1914,10,429.60,26.90,2013,27
Tampa Bay Buccaneers,TB,WR,128,1913,14,403.30,25.20,2013,28
New York Jets,NYJ,WR,149,2023,7,399.90,25.00,2013,29
Buffalo Bills,BUF,WR,134,1841,11,389.40,24.30,2013,30
San Francisco 49ers,SF,WR,133,1746,8,362.50,22.70,2013,31
Kansas City Chiefs,KC,WR,120,1543,9,329.50,20.60,2013,32
Green Bay Packers,GB,WR,237,2926,35,752.80,47.10,2012,1
Denver Broncos,DEN,WR,235,3158,28,720.20,45.00,2012,2
Dallas Cowboys,DAL,WR,224,3122,23,674.60,42.20,2012,3
Indianapolis Colts,IND,WR,230,3215,16,650.80,40.70,2012,4
Detroit Lions,DET,WR,227,3122,16,649.10,40.60,2012,5
Cincinnati Bengals,CIN,WR,220,2712,22,636.20,39.80,2012,6
Atlanta Falcons,ATL,WR,213,2985,19,628.90,39.30,2012,7
New York Giants,NYG,WR,214,2891,18,611.70,38.20,2012,8
New Orleans Saints,NO,WR,185,2943,20,600.70,37.50,2012,9
New England Patriots,NE,WR,230,2708,14,591.30,37.00,2012,10
Washington Redskins,WAS,WR,193,2544,20,577.10,36.10,2012,11
Los Angeles Rams,LAR,WR,211,2603,17,575.30,36.00,2012,12
Tampa Bay Buccaneers,TB,WR,168,2845,19,568.90,35.60,2012,13
Philadelphia Eagles,PHI,WR,209,2709,12,552.40,34.50,2012,14
Chicago Bears,CHI,WR,197,2526,17,552.00,34.50,2012,15
Jacksonville Jaguars,JAC,WR,197,2585,14,541.30,33.80,2012,16
Pittsburgh Steelers,PIT,WR,191,2456,14,524.10,32.80,2012,17
Oakland Raiders,OAK,WR,168,2363,16,512.50,32.00,2012,18
Arizona Cardinals,ARI,WR,208,2326,11,510.40,31.90,2012,19
Tennessee Titans,TEN,WR,189,2330,12,494.40,30.90,2012,20
Baltimore Ravens,BAL,WR,161,2422,14,489.00,30.60,2012,21
San Francisco 49ers,SF,WR,171,2201,14,484.30,30.30,2012,22
Houston Texans,HOU,WR,175,2439,8,471.90,29.50,2012,23
Cleveland Browns,CLE,WR,158,2204,11,456.80,28.60,2012,24
Carolina Panthers,CAR,WR,150,2357,10,454.00,28.40,2012,25
Seattle Seahawks,SEA,WR,140,1976,18,449.30,28.10,2012,26
San Diego Chargers,SD,WR,142,2037,15,437.30,27.30,2012,27
Minnesota Vikings,MIN,WR,166,1927,8,423.30,26.50,2012,28
Miami Dolphins,MIA,WR,166,2294,3,414.30,25.90,2012,29
Buffalo Bills,BUF,WR,157,1883,11,411.80,25.70,2012,30
New York Jets,NYJ,WR,152,1980,9,406.00,25.40,2012,31
Kansas City Chiefs,KC,WR,100,1328,4,256.90,16.10,2012,32
